"DateTime","Germany, Base","Germany, Peak"
"2000-06-16 00:00:00",17.13,20.5
"2000-06-17 00:00:00",13.3,15.18
"2000-06-18 00:00:00",11.4,12.58
"2000-06-19 00:00:00",17.67,21.92
"2000-06-20 00:00:00",18.36,22.86
"2000-06-21 00:00:00",17.94,22.34
"2000-06-22 00:00:00",13.56,14.82
"2000-06-23 00:00:00",14.39,16.96
"2000-06-24 00:00:00",12.58,13.95
"2000-06-25 00:00:00",11.09,12.13
"2000-06-26 00:00:00",18.67,22.52
"2000-06-27 00:00:00",16.17,19.73
"2000-06-28 00:00:00",16.79,19.56
"2000-06-29 00:00:00",18.59,22.5
"2000-06-30 00:00:00",15.82,18.89
"2000-07-01 00:00:00",11.14,13.86
"2000-07-02 00:00:00",10.01,12.32
"2000-07-03 00:00:00",16.11,20.35
"2000-07-04 00:00:00",17.85,22.03
"2000-07-05 00:00:00",17.34,20.84
"2000-07-06 00:00:00",17.95,22.43
"2000-07-07 00:00:00",16.62,20.75
"2000-07-08 00:00:00",12.6,14.43
"2000-07-09 00:00:00",9.86,11.23
"2000-07-10 00:00:00",16.9,21.78
"2000-07-11 00:00:00",18.97,22.8
"2000-07-12 00:00:00",17.92,22.63
"2000-07-13 00:00:00",16.46,20.08
"2000-07-14 00:00:00",15.05,18.35
"2000-07-15 00:00:00",11.78,13.55
"2000-07-16 00:00:00",10.3,11.35
"2000-07-17 00:00:00",15.5,18.78
"2000-07-18 00:00:00",14.89,17.4
"2000-07-19 00:00:00",15.04,17.51
"2000-07-20 00:00:00",15.08,17.64
"2000-07-21 00:00:00",16.24,19.31
"2000-07-22 00:00:00",13.48,15.24
"2000-07-23 00:00:00",10.56,11.71
"2000-07-24 00:00:00",15.5,18.75
"2000-07-25 00:00:00",15.29,17.28
"2000-07-26 00:00:00",15.87,19.58
"2000-07-27 00:00:00",14.89,17.59
"2000-07-28 00:00:00",15.16,17.82
"2000-07-29 00:00:00",12.34,14.13
"2000-07-30 00:00:00",11,12.3
"2000-07-31 00:00:00",15.51,18.95
"2000-08-01 00:00:00",15.04,17.84
"2000-08-02 00:00:00",14.38,16.62
"2000-08-03 00:00:00",15.54,18.77
"2000-08-04 00:00:00",16.02,18.95
"2000-08-05 00:00:00",12.64,14.87
"2000-08-06 00:00:00",10.18,11.5
"2000-08-07 00:00:00",13.82,16.09
"2000-08-08 00:00:00",14.8,17.35
"2000-08-09 00:00:00",14.48,16.5
"2000-08-10 00:00:00",15.44,17.73
"2000-08-11 00:00:00",14.83,16.65
"2000-08-12 00:00:00",12.63,14.76
"2000-08-13 00:00:00",10.22,11.55
"2000-08-14 00:00:00",15.46,18.22
"2000-08-15 00:00:00",14.37,15.94
"2000-08-16 00:00:00",17.28,20.2
"2000-08-17 00:00:00",17.65,20.54
"2000-08-18 00:00:00",17.02,19.27
"2000-08-19 00:00:00",14.36,16.8
"2000-08-20 00:00:00",10.97,12.83
